GameID,TitleEnglish,LaunchPrice,TotalSales
1,Agarest Senki,7140,23688
3,Bladestorm: The Hundred Years' War,8190,118079
4,Boku no Natsuyasumi 3: Hokkoku Hen: Chiisana Boku no Dai Sougen,5980,76869
5,Call of Duty 3,7140,32765
6,Dynasty Warriors Gundam,7800,312674
7,Enchanted Arms,8190,38703
9,Folklore,5980,38305
11,Genji: Days of the Blade,5980,53780
12,Hot Shots Golf 5,5980,409840
13,Lair,5980,51792
18,Mobile Suit Gundam: Target in Sight,7329,146199
22,Ninja Gaiden Sigma,7800,76095
23,Pro Baseball Spirits 4,7329,68831
25,Rainbow Six Vegas,7140,28099
26,Resistance: Fall of Man,5980,136492
27,Ridge Racer 7,7329,149648
29,The Elder Scrolls IV: Oblivion,8190,49114
30,The Eye of Judgment,9980,7531
32,Virtua Fighter 5,8190,97321
33,Virtua Tennis 3,7329,33636
34,Wangan Midnight,7329,31899
35,Big Brain Academy: Wii Degree,4800,324288
42,Donkey Kong Barrel Blast,5800,79201
43,Dragon Ball Z: Budokai Tenkaichi 2,7140,165969
44,Dragon Ball Z: Budokai Tenkaichi 3,7140,90255
45,Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,6800,486222
47,Endless Ocean,5800,47227
48,Ennichi no Tatsujin,5040,109877
50,Excite Truck,5800,81189
51,Eyeshield 21: Field Saikyou no Senshitachi,5800,26013
52,Fire Emblem: Radiant Dawn,6800,171924
53,Fishing Master,5040,95473
55,Ghost Squad,5040,59455
57,Hajime no Ippo Revolution,6090,54318
58,Harvest Moon: Tree of Peace,7140,69879
59,Imabikisou,7980,68287
60,Kekkaishi: Kokubourou no Kage,6040,35256
63,Mario Party 8,5800,1427575
64,Mario Strikers Charged,5800,225556
65,MLB Power Pros,7329,25416
66,Mobile Suit Gundam MS Front 0079,7140,89435
67,Momotarou Dentetsu 16,6090,44330
69,Naruto Shippuuden: Gekitou Ninja Taisen EX,6800,109971
71,One Piece: Unlimited Adventure,7140,110802
72,Pokémon Battle Revolution,5800,352123
73,Power Pro Baseball Wii,7329,111825
77,Resident Evil 4 Wii edition,5040,135417
79,Samurai Warriors Katana,6279,34981
80,SD Gundam: Scad Hammers,6090,45439
81,Sonic and the Secret Rings,7329,30563
84,Super Paper Mario,5800,505491
85,Super Swing Golf,6090,61163
87,The Legend of Zelda: Twilight Princess,6800,552476
89,WarioWare: Smooth Moves,5800,654200
90,Wii Play,4800,2800615
91,Wii Sports,4800,3682754
93,Zack & Wiki: Quest for Barbaros' Treasure,6090,26658
94,Advance Wars: Dual Strike,4800,34447
95,Animal Crossing: Wild World,4800,5157481
96,Archaic Sealed Heat,5800,151240
97,Atsumare! Power Pro Kun no DS Koushien,5229,90144
98,Banushi Life Game: Winner's Circle,5040,41735
99,Big Brain Academy,2800,1589539
100,Bikkuriman Encyclopedia,5040,20157
101,Bleach DS 2nd: Kokui Hirameku Requiem,5229,117710
102,Bleach DS: Souten ni Kakeru Unmei,5040,95044
103,Bokujou Monogatari: Kimi to Sodatsu Shima,5040,304348
104,Bomberman,5040,45239
105,Brain Age 2: More Training in Minutes a Day,2800,5060499
106,Brain Age: Train Your Brain in Minutes a Day,2800,3829480
107,Castlevania: Dawn of Sorrow,5229,27702
108,Castlevania: Portrait of Ruin,5229,27006
109,Chibi-Robo!: Park Patrol,4800,160376
110,Children of Mana,5040,281083
111,Chou Soujuu Mecha MG,4800,72156
112,Chou-Gekijou-Ban Keroro Gunsou: Enshuu Dayo! Zenin Shuugou,5040,84758
113,Code Geass: Hangyaku no Lelouch,5040,25812
114,Contact,5040,6064
115,Crayon Shin-Chan DS: Arashi wo Yobu Nutte Crayoon Daisakusen!,5040,131696
116,Custom Beat Battle: Draglade,5040,31401
117,Custom Robo Arena,4800,109279
118,D.Gray-Man: Kami no Shitotachi,5229,34774
119,Daigassou! Band Brothers,4800,164166
120,Daito Giken Koushiki Pachi-Slot Simulator: Hihouden - Ossu! Banchou - Yoshimune DS,5040,83707
121,Daredemo Asobi Taizen,3800,630777
122,Death Note: Kira Game,5229,93838
123,Densetsu no Stafi 4,4800,167136
124,Digimon World DS,5040,217986
125,Digimon World: Dusk / Dawn,5040,185110
126,Dokidoki Majo Shinpan!,5040,39012
127,Donkey Kong Jungle Climber,4800,204689
128,Doraemon: Nobita no Kyouryuu 2006 DS,5040,61635
129,Doraemon: Nobita no Shin Makai Daibouken DS,5040,63252
130,Dragon Ball Z: Harukanaru Densetsu,5040,150724
131,Dragon Ball Z: Supersonic Warriors 2,5040,313505
132,Dragon Quest Heroes: Rocket Slime,4990,293970
133,Dragon Quest Monsters: Joker,5040,1458149
134,Literature Collection DS,2800,259062
135,DS Kageyama Method: Hanpuku: Tadashii Kanji Kakitorikun,3600,129436
136,DS Nishimura Kyotaro Suspense Shin Tantei Series: Kyoto Atami Zekkai no Kotou - Satsui no Wana,3990,229667
137,DS Rakubiki Jiten,4800,71557
138,Egg Monster Hero,5040,92096
